,country,region,city,station_name_current,stn_key,icao_xref,wmo_xref,wban,maslib,lat_prp,lon_prp,elev_prp,postal_code
33095,United States,AK,Cape Newenham|Kinegnak,Cape Newenham AFS,USaaPAEH,PAEH,70305.0,25623.0,703050.0,58.64642889,-162.06277749999998,164.9,US-99559
33099,United States,AK,Cape Romanzoff|Scammon Bay,Airport|AFS,USaaPACZ,PACZ,70212.0,26633.0,702120.0,61.78180847,-166.0369654,141.4,US-99662
33101,United States,AK,Cape Saint Elias|Katalla,,USaaPACP,PACP,70360.0,25401.0,703600.0,59.8,-144.6,18.0,-
33106,United States,AK,Cape Spencer|Elfin Cove,,USaaPACA,PACA,70365.0,25316.0,703650.0,58.19906861,-136.6388106,25.6,US-99826
33113,United States,AK,Central,,USaaPARL,PARL,70197.0,26418.0,701970.0,65.57394444,-144.7808889,285.6,US-99730
33145,United States,AK,Chuginadak Island|Nikolski,AAF,USs74920,,74920.0,25601.0,749200.0,52.833,-169.833,24.0,US-99638
33158,United States,AK,Cold Bay,Airport|Thornbough AFB|Fort Randall Emergency Field,USaaPACD,PACD,70316.0,25624.0,703160.0,55.20515003,-162.72446619999997,31.1,US-99571
33175,United States,AK,Craig,Seaplane,USaaPA12,PA12,70392.0,25317.0,703920.0,55.47883139,-133.14780109999998,0.0,US-99921
33188,United States,AK,Delta Junction,Big Delta AAF|Fort Greely|Allen AAF,USaaPABI,PABI,70267.0,26415.0,702670.0,63.99516031,-145.7200247,393.5,US-99737
33189,United States,AK,Delta Junction,Big Delta/AFB/Fort Greely,USaaPABI,,70266.0,26415.0,702660.0,63.99516031,-145.7200247,393.5,US-99737
33194,United States,AK,Dillingham,,USaaPADL,PADL,70321.0,25513.0,703210.0,59.04466667,-158.5055,25.0,US-99576
33210,United States,AK,Eldred Rock|Mud Bay,,USs70364,,70364.0,25318.0,703640.0,58.97105861,-135.23738219999998,10.1,US-99827
33226,United States,AK,Fairbanks|Broadmoor,International Airport,USaaPAFA,PAFA,70261.0,26411.0,702610.0,64.81511008,-147.8564476,133.8,US-99709
